year,award_type,win_type,contributor_name,movie_name
1990,actress,winner,Kathy Bates,Misery
1990,actress,nominee,Anjelica Huston,The Grifters
1990,actress,nominee,Julia Roberts,Pretty Woman
1990,actress,nominee,Meryl Streep,Postcards from the Edge
1990,actress,nominee,Joanne Woodward,Mr. & Mrs. Bridge
1991,actress,nominee,Geena Davis,Thelma & Louise
1991,actress,nominee,Laura Dern,Rambling Rose
1991,actress,winner,Jodie Foster,The Silence of the Lambs
1991,actress,nominee,Bette Midler,For the Boys
1991,actress,nominee,Susan Sarandon,Thelma & Louise
1992,actress,nominee,Catherine Deneuve,Indochine
1992,actress,nominee,Mary McDonnell,Passion Fish
1992,actress,nominee,Michelle Pfeiffer,Love Field
1992,actress,nominee,Susan Sarandon,Lorenzo's Oil
1992,actress,winner,Emma Thompson,Howards End
1993,actress,nominee,Angela Bassett,What's Love Got to Do with It
1993,actress,nominee,Stockard Channing,Six Degrees of Separation
1993,actress,winner,Holly Hunter,The Piano
1993,actress,nominee,Emma Thompson,The Remains of the Day
1993,actress,nominee,Debra Winger,Shadowlands
1994,actress,nominee,Jodie Foster,Nell
1994,actress,winner,Jessica Lange,Blue Sky
1994,actress,nominee,Miranda Richardson,Tom & Viv
1994,actress,nominee,Winona Ryder,Little Women
1994,actress,nominee,Susan Sarandon,The Client
1995,actress,winner,Susan Sarandon,Dead Man Walking
1995,actress,nominee,Elisabeth Shue,Leaving Las Vegas
1995,actress,nominee,Sharon Stone,Casino
1995,actress,nominee,Meryl Streep,The Bridges of Madison County
1995,actress,nominee,Emma Thompson,Sense and Sensibility
1996,actress,nominee,Brenda Blethyn,Secrets & Lies
1996,actress,nominee,Diane Keaton,Marvin's Room
1996,actress,winner,Frances McDormand,Fargo
1996,actress,nominee,Kristin Scott Thomas,The English Patient
1996,actress,nominee,Emily Watson,Breaking the Waves
1997,actress,nominee,Helena Bonham Carter,The Wings of the Dove
1997,actress,nominee,Julie Christie,Afterglow
1997,actress,nominee,Judi Dench,Mrs. Brown
1997,actress,winner,Helen Hunt,As Good as It Gets
1997,actress,nominee,Kate Winslet,Titanic
1998,actress,nominee,Cate Blanchett,Elizabeth
1998,actress,nominee,Fernanda Montenegro,Central Station
1998,actress,winner,Gwyneth Paltrow,Shakespeare in Love
1998,actress,nominee,Meryl Streep,One True Thing
1998,actress,nominee,Emily Watson,Hilary and Jackie
1999,actress,nominee,Annette Bening,American Beauty
1999,actress,nominee,Janet McTeer,Tumbleweeds
1999,actress,nominee,Julianne Moore,The End of the Affair
1999,actress,nominee,Meryl Streep,Music of the Heart
1999,actress,winner,Hilary Swank,Boys Don't Cry
2000,actress,nominee,Joan Allen,The Contender
2000,actress,nominee,Juliette Binoche,Chocolat
2000,actress,nominee,Ellen Burstyn,Requiem for a Dream
2000,actress,nominee,Laura Linney,You Can Count on Me
2000,actress,winner,Julia Roberts,Erin Brockovich
2001,actress,winner,Halle Berry,Monster's Ball
2001,actress,nominee,Judi Dench,Iris
2001,actress,nominee,Nicole Kidman,Moulin Rouge
2001,actress,nominee,Sissy Spacek,In the Bedroom
2001,actress,nominee,Renée Zellweger,Bridget Jones's Diary
2002,actress,nominee,Salma Hayek,Frida
2002,actress,winner,Nicole Kidman,The Hours
2002,actress,nominee,Diane Lane,Unfaithful
2002,actress,nominee,Julianne Moore,Far from Heaven
2002,actress,nominee,Renée Zellweger,Chicago
2003,actress,nominee,Keisha Castle-Hughes,Whale Rider
2003,actress,nominee,Diane Keaton,Something's Gotta Give
2003,actress,nominee,Samantha Morton,In America
2003,actress,winner,Charlize Theron,Monster
2003,actress,nominee,Naomi Watts,21 Grams
2004,actress,nominee,Annette Bening,Being Julia
2004,actress,nominee,Catalina Sandino Moreno,Maria Full of Grace
2004,actress,nominee,Imelda Staunton,Vera Drake
2004,actress,winner,Hilary Swank,Million Dollar Baby
2004,actress,nominee,Kate Winslet,Eternal Sunshine of the Spotless Mind
2005,actress,nominee,Judi Dench,Mrs. Henderson Presents
2005,actress,nominee,Felicity Huffman,Transamerica
2005,actress,nominee,Keira Knightley,Pride & Prejudice
2005,actress,nominee,Charlize Theron,North Country
2005,actress,winner,Reese Witherspoon,Walk the Line
2006,actress,nominee,Penélope Cruz,Volver
2006,actress,nominee,Judi Dench,Notes on a Scandal
2006,actress,winner,Helen Mirren,The Queen
2006,actress,nominee,Meryl Streep,The Devil Wears Prada
2006,actress,nominee,Kate Winslet,Little Children
2007,actress,nominee,Cate Blanchett,Elizabeth: The Golden Age
2007,actress,nominee,Julie Christie,Away from Her
2007,actress,winner,Marion Cotillard,La Vie en Rose
2007,actress,nominee,Laura Linney,The Savages
2007,actress,nominee,Ellen Page,Juno
2008,actress,nominee,Anne Hathaway,Rachel Getting Married
2008,actress,nominee,Angelina Jolie,Changeling
2008,actress,nominee,Melissa Leo,Frozen River
2008,actress,nominee,Meryl Streep,Doubt
2008,actress,winner,Kate Winslet,The Reader
2009,actress,winner,Sandra Bullock,The Blind Side
2009,actress,nominee,Helen Mirren,The Last Station
2009,actress,nominee,Carey Mulligan,An Education
2009,actress,nominee,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire
2009,actress,nominee,Meryl Streep,Julie & Julia
2010,actress,nominee,Annette Bening,The Kids Are All Right
2010,actress,nominee,Nicole Kidman,Rabbit Hole
2010,actress,nominee,Jennifer Lawrence,Winter's Bone
2010,actress,winner,Natalie Portman,Black Swan
2010,actress,nominee,Michelle Williams,Blue Valentine
2011,actress,nominee,Glenn Close,Albert Nobbs
2011,actress,nominee,Viola Davis,The Help
2011,actress,nominee,Rooney Mara,The Girl with the Dragon Tattoo
2011,actress,winner,Meryl Streep,The Iron Lady
2011,actress,nominee,Michelle Williams,My Week with Marilyn
2012,actress,nominee,Jessica Chastain,Zero Dark Thirty
2012,actress,winner,Jennifer Lawrence,Silver Linings Playbook
2012,actress,nominee,Emmanuelle Riva,Amour
2012,actress,nominee,Quvenzhané Wallis,Beasts of the Southern Wild
2012,actress,nominee,Naomi Watts,The Impossible
2013,actress,nominee,Amy Adams,American Hustle
2013,actress,winner,Cate Blanchett,Blue Jasmine
2013,actress,nominee,Sandra Bullock,Gravity
2013,actress,nominee,Judi Dench,Philomena
2013,actress,nominee,Meryl Streep,August: Osage County
1990,actors,nominee,Kevin Costner,Dances With Wolves
1990,actors,nominee,Robert De Niro,Awakenings
1990,actors,nominee,Gerard Depardieu,Cyrano de Bergerac
1990,actors,nominee,Richard Harris,The Field
1990,actors,winner,Jeremy Irons,Reversal of Fortune
1991,actors,nominee,Warren Beatty,Bugsy
1991,actors,nominee,Robert De Niro,Cape Fear
1991,actors,winner,Anthony Hopkins,The Silence of the Lambs
1991,actors,nominee,Nick Nolte,The Prince of Tides
1991,actors,nominee,Robin Williams,The Fisher King
1992,actors,nominee,Robert Downey Jr.,Chaplin
1992,actors,nominee,Clint Eastwood,Unforgiven
1992,actors,winner,Al Pacino,Scent of a Woman
1992,actors,nominee,Stephen Rea,The Crying Game
1992,actors,nominee,Denzel Washington,Malcolm X
1993,actors,nominee,Daniel Day-Lewis,In the Name of the Father
1993,actors,nominee,Laurence Fishburne,What's Love Got to Do with It
1993,actors,winner,Tom Hanks,Philadelphia
1993,actors,nominee,Anthony Hopkins,The Remains of the Day
1993,actors,nominee,Liam Neeson,Schindler's List
1994,actors,nominee,Morgan Freeman,The Shawshank Redemption
1994,actors,winner,Tom Hanks,Forrest Gump
1994,actors,nominee,Nigel Hawthorne,The Madness of King George
1994,actors,nominee,Paul Newman,Nobody's Fool
1994,actors,nominee,John Travolta,Pulp Fiction
1995,actors,winner,Nicolas Cage,Leaving Las Vegas
1995,actors,nominee,Richard Dreyfuss,Mr. Holland's Opus
1995,actors,nominee,Anthony Hopkins,Nixon
1995,actors,nominee,Sean Penn,Dead Man Walking
1995,actors,nominee,Massimo Troisi,The Postman (Il Postino)
1996,actors,nominee,Tom Cruise,Jerry Maguire
1996,actors,nominee,Ralph Fiennes,The English Patient
1996,actors,nominee,Woody Harrelson,The People vs. Larry Flynt
1996,actors,winner,Geoffrey Rush,Shine
1996,actors,nominee,Billy Bob Thornton,Sling Blade
1997,actors,nominee,Matt Damon,Good Will Hunting
1997,actors,nominee,Robert Duvall,The Apostle
1997,actors,nominee,Peter Fonda,Ulee's Gold
1997,actors,nominee,Dustin Hoffman,Wag the Dog
1997,actors,winner,Jack Nicholson,As Good as It Gets
1998,actors,winner,Roberto Benigni,Life Is Beautiful
1998,actors,nominee,Tom Hanks,Saving Private Ryan
1998,actors,nominee,Ian McKellen,Gods and Monsters
1998,actors,nominee,Nick Nolte,Affliction
1998,actors,nominee,Edward Norton,American History X
1999,actors,nominee,Russell Crowe,The Insider
1999,actors,nominee,Richard Farnsworth,The Straight Story
1999,actors,nominee,Sean Penn,Sweet and Lowdown
1999,actors,winner,Kevin Spacey,American Beauty
1999,actors,nominee,Denzel Washington,The Hurricane
2000,actors,nominee,Javier Bardem,Before Night Falls
2000,actors,winner,Russell Crowe,Gladiator
2000,actors,nominee,Tom Hanks,Cast Away
2000,actors,nominee,Ed Harris,Pollock
2000,actors,nominee,Geoffrey Rush,Quills
2001,actors,nominee,Russell Crowe,A Beautiful Mind
2001,actors,nominee,Sean Penn,I Am Sam
2001,actors,nominee,Will Smith,Ali
2001,actors,winner,Denzel Washington,Training Day
2001,actors,nominee,Tom Wilkinson,In the Bedroom
2002,actors,winner,Adrien Brody,The Pianist
2002,actors,nominee,Nicolas Cage,Adaptation
2002,actors,nominee,Michael Caine,The Quiet American
2002,actors,nominee,Daniel Day-Lewis,Gangs of New York
2002,actors,nominee,Jack Nicholson,About Schmidt
2003,actors,nominee,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
2003,actors,nominee,Ben Kingsley,House of Sand and Fog
2003,actors,nominee,Jude Law,Cold Mountain
2003,actors,nominee,Bill Murray,Lost in Translation
2003,actors,winner,Sean Penn,Mystic River
2004,actors,nominee,Don Cheadle,Hotel Rwanda
2004,actors,nominee,Johnny Depp,Finding Neverland
2004,actors,nominee,Leonardo DiCaprio,The Aviator
2004,actors,nominee,Clint Eastwood,Million Dollar Baby
2004,actors,winner,Jamie Foxx,Ray
2005,actors,winner,Philip Seymour Hoffman,Capote
2005,actors,nominee,Terrence Howard,Hustle & Flow
2005,actors,nominee,Heath Ledger,Brokeback Mountain
2005,actors,nominee,Joaquin Phoenix,Walk the Line
2005,actors,nominee,David Strathairn,"Good Night, and Good Luck."
2006,actors,nominee,Leonardo DiCaprio,Blood Diamond
2006,actors,nominee,Ryan Gosling,Half Nelson
2006,actors,nominee,Peter OToole,Venus
2006,actors,nominee,Will Smith,The Pursuit of Happyness
2006,actors,winner,Forest Whitaker,The Last King of Scotland
2007,actors,nominee,George Clooney,Michael Clayton
2007,actors,winner,Daniel Day-Lewis,There Will Be Blood
2007,actors,nominee,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street
2007,actors,nominee,Tommy Lee Jones,In the Valley of Elah
2007,actors,nominee,Viggo Mortensen,Eastern Promises
2008,actors,nominee,Richard Jenkins,The Visitor
2008,actors,nominee,Frank Langella,Frost/Nixon
2008,actors,winner,Sean Penn,Milk
2008,actors,nominee,Brad Pitt,The Curious Case of Benjamin Button
2008,actors,nominee,Mickey Rourke,The Wrestler
2009,actors,winner,Jeff Bridges,Crazy Heart
2009,actors,nominee,George Clooney,Up in the Air
2009,actors,nominee,Colin Firth,A Single Man
2009,actors,nominee,Morgan Freeman,Invictus
2009,actors,nominee,Jeremy Renner,The Hurt Locker
2010,actors,nominee,Javier Bardem,Biutiful
2010,actors,nominee,Jeff Bridges,True Grit
2010,actors,nominee,Jesse Eisenberg,The Social Network
2010,actors,winner,Colin Firth,The King's Speech
2010,actors,nominee,James Franco,127 Hours
2011,actors,nominee,Demián Bichir,A Better Life
2011,actors,nominee,George Clooney,The Descendants
2011,actors,winner,Jean Dujardin,The Artist
2011,actors,nominee,Gary Oldman,Tinker Tailor Soldier Spy
2011,actors,nominee,Brad Pitt,Moneyball
2012,actors,nominee,Bradley Cooper,Silver Linings Playbook
2012,actors,winner,Daniel Day-Lewis,Lincoln
2012,actors,nominee,Hugh Jackman,Les Misérables
2012,actors,nominee,Joaquin Phoenix,The Master
2012,actors,nominee,Denzel Washington,Flight
2013,actors,nominee,Christian Bale,American Hustle
2013,actors,nominee,Bruce Dern,Nebraska
2013,actors,nominee,Leonardo DiCaprio,The Wolf of Wall Street
2013,actors,nominee,Chiwetel Ejiofor,12 Years a Slave
2013,actors,winner,Matthew McConaughey,Dallas Buyers Club
1990,writing,nominee,Steven Zaillian,Awakenings
1990,writing,winner,Michael Blake,Dances With Wolves
1990,writing,nominee,"Nicholas Pileggi, Martin Scorsese",Good Fellas
1990,writing,nominee,Donald E. Westlake,The Grifters
1990,writing,nominee,Nicholas Kazan,Reversal of Fortune
1990,writing,nominee,Woody Allen,Alice
1990,writing,nominee,Barry Levinson,Avalon
1990,writing,winner,Bruce Joel Rubin,Ghost
1990,writing,nominee,Peter Weir,Green Card
1990,writing,nominee,Whit Stillman,Metropolitan
1991,writing,nominee,Agnieszka Holland,Europa Europa
1991,writing,nominee,"Fannie Flagg, Carol Sobieski",Fried Green Tomatoes
1991,writing,nominee,"Oliver Stone, Zachary Sklar",JFK
1991,writing,nominee,"Pat Conroy, Becky Johnston",The Prince of Tides
1991,writing,winner,Ted Tally,The Silence of the Lambs
1991,writing,nominee,John Singleton,Boyz N the Hood
1991,writing,nominee,James Toback,Bugsy
1991,writing,nominee,Richard LaGravenese,The Fisher King
1991,writing,nominee,"Lawrence Kasdan, Meg Kasdan",Grand Canyon
1991,writing,winner,Callie Khouri,Thelma & Louise
1992,writing,nominee,Peter Barnes,Enchanted April
1992,writing,winner,Ruth Prawer Jhabvala,Howards End
1992,writing,nominee,Michael Tolkin,The Player
1992,writing,nominee,Richard Friedenberg,A River Runs through It
1992,writing,nominee,Bo Goldman,Scent of a Woman
1992,writing,winner,Neil Jordan,The Crying Game
1992,writing,nominee,Woody Allen,Husbands and Wives
1992,writing,nominee,"George Miller, Nick Enright",Lorenzo's Oil
1992,writing,nominee,John Sayles,Passion Fish
1992,writing,nominee,David Webb Peoples,Unforgiven
1993,writing,nominee,"Jay Cocks, Martin Scorsese",The Age of Innocence
1993,writing,nominee,"Terry George, Jim Sheridan",In the Name of the Father
1993,writing,nominee,Ruth Prawer Jhabvala,The Remains of the Day
1993,writing,winner,Steven Zaillian,Schindler's List
1993,writing,nominee,William Nicholson,Shadowlands
1993,writing,nominee,Gary Ross,Dave
1993,writing,nominee,Jeff Maguire,In the Line of Fire
1993,writing,nominee,Ron Nyswaner,Philadelphia
1993,writing,winner,Jane Campion,The Piano
1993,writing,nominee," Nora Ephron, David S. Ward, Jeff Arch,   Jeff Arch",Sleepless in Seattle
1994,writing,winner,Eric Roth,Forrest Gump
1994,writing,nominee,Alan Bennett,The Madness of King George
1994,writing,nominee,Robert Benton,Nobody's Fool
1994,writing,nominee,Paul Attanasio,Quiz Show
1994,writing,nominee,Frank Darabont,The Shawshank Redemption
1994,writing,nominee,"Woody Allen, Douglas McGrath",Bullets over Broadway
1994,writing,nominee,Richard Curtis,Four Weddings and a Funeral
1994,writing,nominee,"Frances Walsh, Peter Jackson",Heavenly Creatures
1994,writing,winner," Quentin Tarantino,  Stories Quentin Tarantino , Roger Avary",Pulp Fiction
1994,writing,nominee,"Krzysztof Piesiewicz, Krzysztof Kieslowski",Red
1995,writing,nominee,"William Broyles Jr., Al Reinert",Apollo 13
1995,writing,nominee,"George Miller, Chris Noonan",Babe
1995,writing,nominee,Mike Figgis,Leaving Las Vegas
1995,writing,nominee,"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi",The Postman (Il Postino)
1995,writing,winner,Emma Thompson,Sense and Sensibility
1995,writing,nominee,Randall Wallace,Braveheart
1995,writing,nominee,Woody Allen,Mighty Aphrodite
1995,writing,nominee,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone",Nixon
1995,writing,nominee," Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow,   John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",Toy Story
1995,writing,winner,Christopher McQuarrie,The Usual Suspects
1996,writing,nominee,Arthur Miller,The Crucible
1996,writing,nominee,Anthony Minghella,The English Patient
1996,writing,nominee,Kenneth Branagh,Hamlet
1996,writing,winner,Billy Bob Thornton,Sling Blade
1996,writing,nominee,John Hodge,Trainspotting
1996,writing,winner,"Ethan Coen, Joel Coen",Fargo
1996,writing,nominee,Cameron Crowe,Jerry Maguire
1996,writing,nominee,John Sayles,Lone Star
1996,writing,nominee,Mike Leigh,Secrets & Lies
1996,writing,nominee," Jan Sardi,   Scott Hicks",Shine
1997,writing,nominee,Paul Attanasio,Donnie Brasco
1997,writing,winner,"Brian Helgeland, Curtis Hanson",L.A. Confidential
1997,writing,nominee,Atom Egoyan,The Sweet Hereafter
1997,writing,nominee,"Hilary Henkin, David Mamet",Wag the Dog
1997,writing,nominee,Hossein Amini,The Wings of the Dove
1997,writing,nominee," Mark Andrus, James L. Brooks,   Mark Andrus",As Good as It Gets
1997,writing,nominee,Paul Thomas Anderson,Boogie Nights
1997,writing,nominee,Woody Allen,Deconstructing Harry
1997,writing,nominee,Simon Beaufoy,The Full Monty
1997,writing,winner,"Ben Affleck, Matt Damon",Good Will Hunting
1998,writing,winner,Bill Condon,Gods and Monsters
1998,writing,nominee,Scott Frank,Out of Sight
1998,writing,nominee,Elaine May,Primary Colors
1998,writing,nominee,Scott B. Smith,A Simple Plan
1998,writing,nominee,Terrence Malick,The Thin Red Line
1998,writing,nominee," Warren Beatty, Jeremy Pikser,   Warren Beatty",Bulworth
1998,writing,nominee,"Vincenzo Cerami, Roberto Benigni",Life Is Beautiful
1998,writing,nominee,Robert Rodat,Saving Private Ryan
1998,writing,winner,"Marc Norman, Tom Stoppard",Shakespeare in Love
1998,writing,nominee,Andrew Niccol,The Truman Show
1999,writing,winner,John Irving,The Cider House Rules
1999,writing,nominee,"Alexander Payne, Jim Taylor",Election
1999,writing,nominee,Frank Darabont,The Green Mile
1999,writing,nominee,"Eric Roth, Michael Mann",The Insider
1999,writing,nominee,Anthony Minghella,The Talented Mr. Ripley
1999,writing,winner,Alan Ball,American Beauty
1999,writing,nominee,Charlie Kaufman,Being John Malkovich
1999,writing,nominee,Paul Thomas Anderson,Magnolia
1999,writing,nominee,M. Night Shyamalan,The Sixth Sense
1999,writing,nominee,Mike Leigh,Topsy-Turvy
2000,writing,nominee, Robert Nelson Jacobs,Chocolat
2000,writing,nominee," Wang Hui Ling, James Schamus, Tsai Kuo Jung","Crouching Tiger, Hidden Dragon"
2000,writing,nominee," Ethan Coen , Joel Coen","O Brother, Where Art Thou?"
2000,writing,winner, Stephen Gaghan,Traffic
2000,writing,nominee, Steve Kloves,Wonder Boys
2000,writing,winner, Cameron Crowe,Almost Famous
2000,writing,nominee, Lee Hall,Billy Elliot
2000,writing,nominee, Susannah Grant,Erin Brockovich
2000,writing,nominee," David Franzoni, John Logan, William Nicholson,   David Franzoni",Gladiator
2000,writing,nominee, Kenneth Lonergan,You Can Count on Me
2001,writing,winner, Akiva Goldsman,A Beautiful Mind
2001,writing,nominee," Daniel Clowes , Terry Zwigoff",Ghost World
2001,writing,nominee," Rob Festinger, Todd Field",In the Bedroom
2001,writing,nominee," Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring
2001,writing,nominee," Ted Elliott , Terry Rossio, Joe Stillman, Roger S.H. Schulman",Shrek
2001,writing,nominee," Guillaume Laurant, Jean-Pierre Jeunet, Dialogue Guillaume Laurant",Amélie
2001,writing,winner, Julian Fellowes,Gosford Park
2001,writing,nominee," Christopher Nolan,  Jonathan Nolan",Memento
2001,writing,nominee," Milo Addica , Will Rokos",Monster's Ball
2001,writing,nominee," Wes Anderson , Owen Wilson",The Royal Tenenbaums
2002,writing,nominee," Peter Hedges, Chris Weitz , Paul Weitz",About a Boy
2002,writing,nominee," Charlie Kaufman, Donald Kaufman",Adaptation
2002,writing,nominee, Bill Condon,Chicago
2002,writing,nominee, David Hare,The Hours
2002,writing,winner, Ronald Harwood,The Pianist
2002,writing,nominee, Todd Haynes,Far from Heaven
2002,writing,nominee," Jay Cocks, Steve Zaillian, Kenneth Lonergan,  Jay Cocks",Gangs of New York
2002,writing,nominee, Nia Vardalos,My Big Fat Greek Wedding
2002,writing,winner, Pedro Almodóvar,Talk to Her
2002,writing,nominee," Carlos Cuarón, Alfonso Cuarón",Y Tu Mamá También
